Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.486042756023,OUT049
FDW14,1591.7612740786328,OUT017
NCN55,1822.6726586170043,OUT010
FDQ58,2546.362959157395,OUT017
FDY38,5087.605400109228,OUT027
FDH56,1942.637130212249,OUT046
FDL48,680.8000272442418,OUT018
FDC48,2806.0427441358884,OUT027
FDN33,1541.247755806771,OUT045
FDA36,3051.6757355410955,OUT017
FDT44,2004.9816551032447,OUT017
FDQ56,1358.153340629098,OUT045
NCC54,1819.7081624356488,OUT019
FDU11,2076.75019335065,OUT049
DRL59,963.7365800429789,OUT013
FDM24,2541.5716064996277,OUT049
FDI57,3047.5751030919696,OUT045
DRC12,2726.590331793126,OUT018
NCM42,3196.3220820943393,OUT027
FDA46,1129.086593209291,OUT010
FDA31,2782.8531016284605,OUT013
NCJ31,3802.670858883999,OUT035
FDG52,863.6967323629372,OUT046
NCL19,383.6749739722959,OUT019
FDS10,2986.404070313179,OUT035
FDX22,1453.270064260273,OUT010
NCF19,998.5313152811389,OUT035
NCE06,2519.8296088661195,OUT046
DRC27,3768.666066789686,OUT046
FDE21,2044.9750562281502,OUT035
NCR42,-1251.134114547142,OUT019
FDX51,2840.707683652796,OUT018
NCR06,510.71347688105004,OUT018
FDU31,4872.661618212022,OUT027
FDU59,2684.937811854625,OUT017
FDR03,4667.855182836754,OUT027
FDS49,2769.552144702109,OUT027
FDD48,-11.742853337762199,OUT010
NCF18,3083.50922136491,OUT017
NCD43,3104.414085400251,OUT027
NCD54,2007.8274969877755,OUT018
FDY19,23.56811324654518,OUT010
NCY54,2783.2415589678103,OUT017
NCL19,2023.5214175263475,OUT018
FDP23,1509.3653428274192,OUT010
FDC26,1848.5794920752428,OUT013
FDR14,-931.0749455928544,OUT010
NCS41,2986.619667600746,OUT035
FDF41,3971.3364664503206,OUT035
FDU34,2004.5683173135983,OUT046
DRH11,984.1695289641877,OUT046
FDM03,1734.3034064058775,OUT013
FDS31,2964.89332690925,OUT017
FDJ20,2116.7529678965648,OUT017
FDV44,4427.784808962079,OUT027
FDG02,3080.328271401881,OUT049
FDA09,2877.9901004558033,OUT013
FDT04,743.8136889644131,OUT013
FDL58,2224.4305199227956,OUT019
FDE52,1472.2979119940544,OUT045
FDW12,2500.327617754799,OUT035
FDL51,3499.1716317514497,OUT017
NCY42,3669.3541994593,OUT027
FDR07,1704.3865411049335,OUT017
FDN40,2341.9257898901224,OUT045
FDB35,2975.9387231789165,OUT027
FDA22,2708.401927647028,OUT017
NCL06,4020.093188584381,OUT046
FDI35,2889.386905085806,OUT013
NCW42,3358.986753706945,OUT045
NCX06,2926.340846616715,OUT049
FDC37,3208.315481741239,OUT027
FDZ14,1759.362855368341,OUT018
DRG49,3880.4720445096305,OUT049
NCG06,3875.8374405200043,OUT045
DRC36,2697.4303484146417,OUT045
FDV21,89.2032936723657,OUT019
FDB53,2335.2836003628095,OUT046
DRP47,1969.3600466199546,OUT019
FDA14,2346.31231189347,OUT013
DRC24,2559.436840774868,OUT035
FDW21,1431.141525256184,OUT018
NCH29,1574.1901419858748,OUT046
FDU58,3038.849954510204,OUT013
FDY27,2888.5866735281934,OUT017
FDV56,1978.635375325096,OUT035
FDT59,3588.219044516925,OUT046
FDB23,3557.5198981563967,OUT046
FDR49,760.3217983798734,OUT045
FDB03,1879.1002918477898,OUT010
FDN39,2601.0081164778535,OUT045
FDX02,4893.539499114107,OUT027
FDQ16,3196.5764802810195,OUT027
FDU35,1349.3325726460905,OUT018
NCT29,1985.4074128544564,OUT013
FDZ27,871.1855531616695,OUT046
FDN57,2352.025935043546,OUT017
FDA03,2095.9434563670666,OUT018
FDZ36,2892.9101455455657,OUT045
NCU05,1378.5344023376724,OUT013
FDT39,2199.463258352247,OUT018
FDK60,1722.7099429732364,OUT017
FDZ25,2809.5987327632397,OUT017
FDG12,1996.264166796808,OUT046
DRB01,1083.33578031196,OUT019
NCC43,5257.561572088322,OUT027
FDX13,1979.8573545982836,OUT019
FDM22,1099.9470861104871,OUT049
FDJ03,2354.422841288429,OUT027
FDU14,3604.680000547861,OUT018
FDB33,672.5769401362724,OUT010
FDP27,2975.1934067615757,OUT046
FDO38,-582.7923496414348,OUT010
FDE28,5039.563589210016,OUT027
FDO27,1728.2847298513584,OUT035
DRL23,3168.950989414748,OUT027
FDS28,1027.068348708507,OUT046
FDX24,1576.8218839850065,OUT013
FDZ02,1784.0734724042354,OUT035
FDL46,1839.2554744810388,OUT045
FDS60,4250.409336238304,OUT027
NCO06,717.6465905641745,OUT017
FDO16,1575.6042405473013,OUT035
FDC60,1593.7200437221386,OUT049
FDA48,3143.385870077206,OUT018
FDZ36,4385.028482398676,OUT027
FDK27,1908.4289842610203,OUT045
FDW23,471.632553703544,OUT018
FDM14,1541.1823508090108,OUT018
FDM14,1815.3528147796865,OUT013
FDW60,2582.1162522474688,OUT018
FDE21,1937.8367449367727,OUT013
NCM42,1909.6295631404068,OUT035
FDY59,-325.2766424478064,OUT010
DRI49,1411.6164616201531,OUT049
FDT28,537.2071923218491,OUT019
FDQ22,492.4516104473239,OUT018
FDR60,1379.3844046079018,OUT049
FDC50,-340.25310825444325,OUT019
FDV24,2420.1696343514554,OUT013
DRF48,1114.8936484944247,OUT010
FDQ47,720.7024107545549,OUT046
DRN36,1683.4037250766808,OUT049
NCY06,2186.5456966803395,OUT035
FDE52,1667.710034861254,OUT035
NCB54,1960.2734232898458,OUT045
NCF31,2544.2467193331745,OUT035
FDJ08,4390.76265434792,OUT027
NCC07,1827.1444492907683,OUT017
NCD19,2337.0849311304028,OUT027
FDL46,2028.7564046335747,OUT049
FDM20,3747.487028898604,OUT045
NCI06,943.0398761002449,OUT010
DRM11,4122.364533017647,OUT035
NCH07,2216.5615376056476,OUT018
FDS23,2100.7278006301876,OUT013
FDO49,669.6110700121153,OUT018
FDS35,1217.2217140612674,OUT049
DRK39,1285.972681373593,OUT045
DRI39,1099.9780065826922,OUT049
FDV04,2624.8631109665653,OUT017
NCN14,2975.4833906593058,OUT035
FDH08,3643.5167154159753,OUT013
FDS20,2869.6655231483446,OUT046
FDV40,1379.9784542136151,OUT049
FDZ48,-86.89226142344023,OUT010
FDS24,2932.014853212058,OUT027
FDK44,2828.497943221718,OUT049
FDS48,2339.1628031702317,OUT045
FDK26,1102.713449369889,OUT010
FDD23,2937.0715590527197,OUT045
NCH54,2634.2183373391235,OUT017
NCP14,-188.76888283441275,OUT010
FDM60,-1102.8992058263439,OUT010
FDV24,2476.404942163208,OUT017
FDH08,3307.193971473378,OUT018
FDS12,3456.9008641950736,OUT027
FDR39,4257.419862283465,OUT027
FDP12,2172.1116928418496,OUT027
DRF60,5054.840035189801,OUT027
FDC09,1883.5086627079036,OUT035
FDF50,2792.6310969882406,OUT018
FDG28,3949.81155231378,OUT035
NCE19,1057.1553589040068,OUT017
NCM53,-135.38119785417905,OUT010
NCN18,1869.1723657928883,OUT049
FDF32,3238.100114202482,OUT035
FDF11,3794.36755011207,OUT013
DRI59,3568.41431663682,OUT049
NCG54,2780.9423983464094,OUT035
FDM44,1678.2034344736799,OUT046
FDT57,3413.214260619038,OUT018
FDV24,2369.6357117290468,OUT046
FDI50,1710.7204506835287,OUT019
FDS09,1104.35274976031,OUT035
NCC31,3861.4868349885733,OUT027
FDQ07,1570.3560600779101,OUT019
FDC22,3127.281606461259,OUT017
FDZ56,2686.5134977821203,OUT046
FDZ40,-886.7626110244157,OUT019
FDS46,3392.0789039431993,OUT027
DRD24,2178.022593193437,OUT045
FDV45,3076.1107171873227,OUT017
FDL26,2402.3300001392604,OUT045
FDA56,1738.911094674989,OUT018
FDN27,1901.254511769204,OUT046
FDM20,3893.6092714590477,OUT049
FDO16,1507.217389871196,OUT017
FDL03,3249.545728230856,OUT035
FDE58,1865.6219302935845,OUT046
FDI02,3275.795627525313,OUT027
NCC55,-1192.3770005445685,OUT019
FDR03,2987.9011520547047,OUT018
FDB14,1662.1679460339794,OUT017
FDR45,3772.579260204853,OUT013
NCN07,2178.6437601828306,OUT017
FDM51,-145.5376841060551,OUT019
FDT52,5264.676501721283,OUT027
FDL26,2437.143782847011,OUT046
NCZ42,3677.868967036171,OUT046
DRI47,456.8521841976942,OUT019
FDW40,2322.447274960205,OUT013
FDN34,2710.5360779484186,OUT046
FDS01,2961.6490133131797,OUT035
NCG55,1786.9058715791355,OUT045
FDC11,1578.8896400684444,OUT035
FDX35,3287.552822041206,OUT018
NCB06,2504.7436220358863,OUT046
FDR09,2147.0068762252204,OUT019
FDC53,1723.1701314392997,OUT017
FDY45,3990.4304464530264,OUT013
FDA22,754.8653210773706,OUT010
FDE02,1702.4437496190926,OUT035
FDW21,1637.8254474510593,OUT045
FDV34,1307.5016795396905,OUT046
FDS59,1937.4107538080557,OUT049
NCW17,2147.7122949500326,OUT017
NCK54,1804.497160562211,OUT046
FDG17,1966.8955471256704,OUT019
FDG35,2883.7181900134233,OUT017
FDD08,-1134.5765725347414,OUT010
NCO07,3381.1193548026704,OUT017
FDJ10,409.0743816793164,OUT010
FDW36,1811.791201078319,OUT017
FDW21,-104.46172867601013,OUT010
FDY19,2023.89816239477,OUT017
DRE03,889.3223243086379,OUT013
NCC55,786.1303113732861,OUT049
FDH52,-728.1369806091944,OUT010
FDO09,4203.267619634895,OUT017
FDU43,3686.948731205221,OUT045
FDX09,883.5188100450074,OUT010
FDH40,-431.8870969130994,OUT019
